w_v4,w_xgb,threshold,val_accuracy,val_macro_f1,val_high_precision,val_high_recall,val_high_f1,test_accuracy,test_macro_f1,test_high_precision,test_high_recall,test_high_f1,TN,FP,FN,TP
0.0,1.0,0.68,0.9231877100336053,0.8833788228707398,0.8547215496368039,0.7792494481236203,0.815242494226328,0.919723449202996,0.8779196842832655,0.8472762645914397,0.769434628975265,0.8064814814814815,3918,157,261,871
0.05,0.95,0.65,0.9231877100336053,0.8837741323513001,0.8513189448441247,0.7836644591611479,0.8160919540229885,0.9204916458613405,0.8801484987997603,0.8406072106261859,0.7826855123674912,0.8106129917657823,3907,168,246,886
0.1,0.9,0.63,0.9241478636581854,0.8854206703319352,0.8520286396181385,0.7880794701986755,0.8188073394495413,0.9206836950259266,0.8807978402174417,0.8381937911571026,0.7871024734982333,0.8118451025056947,3903,172,241,891
0.15,0.85,0.61,0.9251080172827653,0.8876265700215792,0.8477751756440282,0.7991169977924945,0.8227272727272728,0.9212598425196851,0.8820959893185164,0.8361266294227188,0.7932862190812721,0.814143245693563,3899,176,234,898
0.2,0.8,0.6,0.9255880940950552,0.8886245730692,0.8465116279069768,0.8035320088300221,0.8244620611551529,0.9218359900134434,0.8829974787511341,0.8372093023255814,0.7950530035335689,0.8155867693701858,3900,175,232,900
0.25,0.75,0.6,0.9265482477196352,0.8896957816031922,0.852112676056338,0.8013245033112583,0.825938566552901,0.9231803341655463,0.8848188756357966,0.8420560747663551,0.7959363957597173,0.818346957311535,3906,169,231,901
0.3,0.7,0.57,0.9255880940950552,0.8891737174903793,0.841743119266055,0.8101545253863135,0.8256467941507312,0.9224121375072019,0.8851089255129505,0.8285198555956679,0.8109540636042403,0.8196428571428571,3885,190,214,918
0.35,0.65,0.56,0.9265482477196352,0.89078263551546,0.8424657534246576,0.8145695364238411,0.8282828282828283,0.9220280391780296,0.8849865490252233,0.8241071428571428,0.8153710247349824,0.8197158081705151,3878,197,209,923
0.4,0.6,0.56,0.9265482477196352,0.8904239441108788,0.8456221198156681,0.8101545253863135,0.8275084554678692,0.9214518916842712,0.883799926809651,0.8253825382538253,0.8100706713780919,0.8176549264378065,3881,194,215,917
0.45,0.55,0.54,0.9246279404704753,0.8886525960041988,0.8318385650224215,0.8189845474613686,0.8253615127919911,0.9193393508738237,0.8816278837147975,0.8133802816901409,0.8162544169611308,0.8148148148148148,3863,212,208,924
0.5,0.5,0.56,0.9246279404704753,0.887187470786222,0.8441860465116279,0.8013245033112583,0.8221970554926388,0.9210677933550989,0.8828521604212967,0.8274296094459582,0.8047703180212014,0.8159426780116436,3885,190,221,911
0.55,0.44999999999999996,0.56,0.9236677868458953,0.8859390739698004,0.8402777777777778,0.8013245033112583,0.8203389830508474,0.9191473017092375,0.8800799121884961,0.8223028105167725,0.8012367491166078,0.8116331096196868,3879,196,225,907
0.6,0.4,0.6,0.9236677868458953,0.8836110422915338,0.8602941176470589,0.7748344370860927,0.8153310104529616,0.9195314000384098,0.8787417432724138,0.837914691943128,0.7809187279151943,0.8084133516232281,3904,171,248,884
0.65,0.35,0.6,0.9231877100336053,0.8827783170838082,0.85995085995086,0.7726269315673289,0.813953488372093,0.9191473017092375,0.878244663494316,0.836329233680227,0.7809187279151943,0.8076747373229786,3902,173,248,884
0.7,0.30000000000000004,0.59,0.9203072491598656,0.8790055287283924,0.847457627118644,0.7726269315673289,0.8083140877598153,0.9160745150758595,0.8742899019355175,0.8238583410997204,0.7809187279151943,0.8018140589569162,3886,189,248,884
0.75,0.25,0.6,0.9183869419107057,0.8756657191170936,0.8459657701711492,0.7637969094922737,0.802784222737819,0.9151142692529287,0.8727248575775554,0.822429906542056,0.7773851590106007,0.7992733878292462,3885,190,252,880
0.8,0.19999999999999996,0.53,0.9126260201632261,0.8716443884667994,0.7991169977924945,0.7991169977924945,0.7991169977924945,0.909736892644517,0.8677880927221296,0.7898423817863398,0.7968197879858657,0.793315743183817,3835,240,230,902
0.85,0.15000000000000002,0.53,0.9107057129140662,0.8686137773123606,0.7960088691796009,0.7924944812362031,0.7942477876106194,0.9072402535048972,0.8640018065455155,0.7848990342405618,0.7897526501766784,0.7873183619550859,3830,245,238,894
0.9,0.09999999999999998,0.55,0.9116658665386462,0.8693983365727729,0.802247191011236,0.7880794701986755,0.7951002227171492,0.9068561551757249,0.8627394177093894,0.7880676758682101,0.7818021201413428,0.7849223946784922,3837,238,247,885
0.95,0.050000000000000044,0.55,0.9083053288526164,0.8649738722934313,0.7911111111111111,0.7858719646799117,0.7884828349944629,0.9066641060111389,0.8625005216130361,0.7873665480427047,0.7818021201413428,0.7845744680851063,3836,239,247,885
1.0,0.0,0.55,0.9054248679788767,0.8605085722346959,0.7857142857142857,0.7770419426048565,0.781354051054384,0.9060879585173804,0.8619612589657011,0.784261715296198,0.7835689045936396,0.7839151568714097,3831,244,245,887
